,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
96:04:27,345867,1.591,8.661,73.6,73.4,73.4
96:04:28,345868,1.588,8.666,73.6,73.4,73.4
96:04:29,345869,1.590,8.664,73.6,73.4,73.4
96:04:30,345870,1.583,8.665,73.6,73.4,73.3
96:04:31,345871,1.583,8.664,73.6,73.4,73.3
96:04:32,345872,1.583,8.664,73.6,73.4,73.4
96:04:33,345873,1.581,8.667,73.6,73.4,73.3
96:04:34,345874,1.581,8.663,73.6,73.4,73.4
96:04:35,345875,1.576,8.663,73.6,73.4,73.3
96:04:36,345876,1.579,8.665,73.6,73.4,73.3
96:04:37,345877,1.576,8.657,73.7,73.5,73.4
96:04:38,345878,1.569,8.664,73.7,73.4,73.5
96:04:39,345879,1.578,8.664,73.6,73.4,73.4
96:04:40,345880,1.567,8.636,73.9,73.6,73.7
96:04:41,345881,1.574,8.652,73.7,73.5,73.5
96:04:42,345882,1.568,8.663,73.6,73.4,73.4
96:04:43,345883,1.566,8.663,73.6,73.4,73.4
96:04:44,345884,1.565,8.664,73.6,73.4,73.4
96:04:45,345885,1.566,8.663,73.6,73.4,73.4
96:04:46,345886,1.564,8.663,73.6,73.4,73.5
96:04:47,345887,1.567,8.662,73.6,73.4,78.7
96:04:48,345888,1.562,8.663,73.6,73.4,78.7
96:04:49,345889,1.562,8.664,73.6,73.4,78.7
96:04:50,345890,1.562,8.663,73.6,73.4,78.7
96:04:51,345891,1.562,8.663,73.6,73.4,78.7
96:04:52,345892,1.562,8.662,73.6,73.4,78.7
96:04:53,345893,1.562,8.663,73.6,73.4,78.7
96:04:54,345894,1.555,8.663,73.7,73.5,78.7
96:04:55,345895,1.555,8.662,73.6,73.4,78.7
96:04:56,345896,1.560,8.663,73.7,73.4,78.7
96:04:57,345897,1.552,8.664,73.6,73.4,78.7
96:04:58,345898,1.552,8.663,73.7,73.4,78.7
96:04:59,345899,1.548,8.664,73.7,73.4,78.7
96:05:00,345900,1.543,8.663,73.6,73.4,78.7
96:05:01,345901,1.548,8.663,73.7,73.5,78.7
96:05:02,345902,1.548,8.664,73.7,73.5,78.7
96:05:03,345903,1.543,8.664,78.9,73.4,78.7
96:05:04,345904,1.543,8.666,78.9,73.4,78.7
96:05:05,345905,1.541,8.664,78.9,73.5,78.7
96:05:06,345906,1.541,8.664,79.0,73.5,78.7
96:05:07,345907,1.541,8.664,78.9,73.5,78.7
96:05:08,345908,1.538,8.663,78.9,78.7,78.7
96:05:09,345909,1.536,8.664,79.0,78.7,78.7
96:05:10,345910,1.534,8.663,79.0,78.7,78.7
96:05:11,345911,1.536,8.665,78.9,78.7,78.7
96:05:12,345912,1.532,8.663,79.0,78.7,78.7
96:05:13,345913,1.533,8.664,78.9,78.7,78.6
96:05:14,345914,1.529,8.663,79.0,78.7,78.7
96:05:15,345915,1.529,8.663,78.9,78.7,78.7
96:05:16,345916,1.527,8.663,78.9,78.7,78.7
96:05:17,345917,1.529,8.663,78.9,78.7,78.7
96:05:18,345918,1.527,8.662,78.9,78.7,78.7
96:05:19,345919,1.522,8.663,78.9,78.7,78.7
96:05:20,345920,1.524,8.661,79.0,78.7,78.7
96:05:21,345921,1.524,8.663,79.0,78.7,78.7
96:05:22,345922,1.517,8.664,79.0,78.7,78.7
96:05:23,345923,1.522,8.663,78.9,78.7,78.7
96:05:24,345924,1.522,8.664,78.9,78.7,78.7
96:05:25,345925,1.515,8.664,78.9,78.7,78.7
96:05:26,345926,1.517,8.664,78.9,78.7,78.7
96:05:27,345927,1.515,8.664,79.0,78.7,78.7
96:05:28,345928,1.517,8.663,78.9,78.7,78.7
96:05:29,345929,1.512,8.664,78.9,78.7,78.6
96:05:30,345930,1.507,8.664,79.0,78.7,78.7
96:05:31,345931,1.510,8.662,79.0,78.8,78.7
96:05:32,345932,1.507,8.664,79.0,78.7,78.7
96:05:33,345933,1.507,8.663,79.0,78.7,84.0
96:05:34,345934,1.502,8.664,78.9,78.7,84.0
96:05:35,345935,1.500,8.664,78.9,78.8,84.0
96:05:36,345936,1.499,8.663,78.9,78.7,84.0
96:05:37,345937,1.500,8.664,79.0,78.7,84.0
96:05:38,345938,1.498,8.663,79.0,78.7,84.0
96:05:39,345939,1.497,8.662,79.0,78.7,84.0
96:05:40,345940,1.498,8.664,78.9,78.8,84.0
96:05:41,345941,1.495,8.663,78.9,78.7,84.0
96:05:42,345942,1.490,8.663,78.9,78.7,84.0
96:05:43,345943,1.488,8.665,78.9,78.7,84.0
96:05:44,345944,1.488,8.665,78.9,78.7,84.0
96:05:45,345945,1.486,8.664,79.0,78.8,84.0
96:05:46,345946,1.486,8.664,79.0,78.7,84.0
96:05:47,345947,1.486,8.663,79.0,78.8,84.0
96:05:48,345948,1.486,8.664,79.0,78.8,84.0
96:05:49,345949,1.484,8.664,79.0,78.8,84.0
96:05:50,345950,1.481,8.664,79.0,78.8,84.0
96:05:51,345951,1.481,8.664,80.2,78.8,84.0
96:05:52,345952,1.474,8.664,84.3,78.8,84.0
96:05:53,345953,1.474,8.666,84.3,78.8,84.0
96:05:54,345954,1.476,8.665,84.3,84.0,84.0
96:05:55,345955,1.476,8.665,84.3,84.0,84.0
96:05:56,345956,1.476,8.665,84.3,84.0,84.0
96:05:57,345957,1.476,8.664,84.3,84.0,84.0
96:05:58,345958,1.476,8.665,84.3,84.0,84.0
96:05:59,345959,1.469,8.665,84.3,84.0,84.0
96:06:00,345960,1.469,8.665,84.3,84.0,84.0
96:06:01,345961,1.465,8.665,84.3,84.0,84.0
96:06:02,345962,1.469,8.665,84.3,84.0,84.0
96:06:03,345963,1.469,8.665,84.3,84.0,84.0
96:06:04,345964,1.469,8.663,84.3,84.0,84.0
96:06:05,345965,1.460,8.666,84.3,84.0,84.0
96:06:06,345966,1.465,8.666,84.3,84.1,84.0
96:06:07,345967,1.464,8.665,84.3,84.0,84.0
96:06:08,345968,1.462,8.667,84.3,84.0,84.0
96:06:09,345969,1.457,8.665,84.3,84.0,84.0
96:06:10,345970,1.458,8.666,84.3,84.0,84.1
96:06:11,345971,1.460,8.668,84.3,84.0,84.0
96:06:12,345972,1.457,8.666,84.3,84.0,84.0
96:06:13,345973,1.460,8.666,84.3,84.1,84.0
96:06:14,345974,1.455,8.665,84.3,84.0,84.1
96:06:15,345975,1.455,8.665,84.3,84.0,84.1
96:06:16,345976,1.448,8.664,84.3,84.0,84.1
96:06:17,345977,1.451,8.662,84.4,84.1,84.1
96:06:18,345978,1.455,8.666,84.3,84.0,84.1
96:06:19,345979,1.450,8.666,84.3,84.0,84.1
96:06:20,345980,1.448,8.657,84.4,84.1,89.4
96:06:21,345981,1.448,8.668,84.3,84.1,89.2
96:06:22,345982,1.448,8.666,84.3,84.0,89.3
96:06:23,345983,1.448,8.666,84.3,84.0,89.2
96:06:24,345984,1.448,8.67,84.2,84.1,89.0
96:06:25,345985,1.445,8.664,84.4,84.2,89.3
96:06:26,345986,1.444,8.666,84.3,84.0,89.3
96:06:27,345987,1.443,8.666,84.3,84.0,89.3
96:06:28,345988,1.443,8.666,84.3,84.0,89.3
96:06:29,345989,1.441,8.667,84.3,84.0,89.3
96:06:30,345990,1.437,8.667,84.3,84.1,89.3
96:06:31,345991,1.434,8.667,84.3,84.1,89.3
96:06:32,345992,1.432,8.667,84.3,84.1,89.3
96:06:33,345993,1.435,8.666,84.3,84.1,89.3
96:06:34,345994,1.432,8.667,84.3,84.1,89.3
96:06:35,345995,1.434,8.667,84.3,84.1,89.3
96:06:36,345996,1.432,8.667,84.3,84.1,89.3
96:06:37,345997,1.431,8.667,84.3,84.1,89.3
96:06:38,345998,1.436,8.667,85.9,84.2,89.3
96:06:39,345999,1.429,8.667,89.6,88.3,89.3
96:06:40,346000,1.429,8.667,89.6,89.4,89.3
96:06:41,346001,1.431,8.667,89.6,89.4,89.3
96:06:42,346002,1.424,8.668,89.6,89.4,89.3
96:06:43,346003,1.424,8.667,89.6,89.4,89.3
96:06:44,346004,1.422,8.668,89.6,89.4,89.3
96:06:45,346005,1.419,8.668,89.6,89.4,89.3
96:06:46,346006,1.415,8.667,89.6,89.4,89.3
96:06:47,346007,1.419,8.668,89.6,89.4,89.3
96:06:48,346008,1.417,8.668,89.6,89.4,89.3
96:06:49,346009,1.417,8.668,89.6,89.4,89.3
96:06:50,346010,1.417,8.668,89.6,89.4,89.3
96:06:51,346011,1.414,8.668,89.6,89.4,89.3
96:06:52,346012,1.411,8.668,89.6,89.4,89.3
96:06:53,346013,1.414,8.668,89.6,89.4,89.3
96:06:54,346014,1.409,8.668,89.6,89.4,89.3
96:06:55,346015,1.407,8.668,89.6,89.4,89.3
96:06:56,346016,1.407,8.668,89.6,89.4,89.3
96:06:57,346017,1.407,8.668,89.6,89.4,89.3
96:06:58,346018,1.406,8.669,89.6,89.4,89.3
96:06:59,346019,1.405,8.668,89.6,89.4,89.3
96:07:00,346020,1.404,8.669,89.6,89.4,89.3
96:07:01,346021,1.400,8.668,89.6,89.4,89.3
96:07:02,346022,1.400,8.669,89.6,89.4,89.3
96:07:03,346023,1.402,8.669,89.6,89.4,89.3
96:07:04,346024,1.400,8.668,89.6,89.4,89.3
96:07:05,346025,1.397,8.669,89.6,89.4,89.3
96:07:06,346026,1.397,8.668,89.6,89.4,89.3
96:07:07,346027,1.395,8.668,89.6,89.4,89.3
96:07:08,346028,1.392,8.668,89.6,89.4,89.3
96:07:09,346029,1.391,8.668,89.6,89.4,89.4
96:07:10,346030,1.391,8.668,89.6,89.4,94.6
96:07:11,346031,1.391,8.668,89.6,89.4,94.6
96:07:12,346032,1.391,8.669,89.6,89.4,94.7
96:07:13,346033,1.391,8.667,89.6,89.4,94.7
96:07:14,346034,1.388,8.668,89.6,89.4,94.6
96:07:15,346035,1.383,8.669,89.6,89.4,94.6
96:07:16,346036,1.381,8.669,89.6,89.4,94.6
96:07:17,346037,1.383,8.669,89.6,89.4,94.6
96:07:18,346038,1.381,8.67,89.6,89.4,94.6
96:07:19,346039,1.381,8.669,89.6,89.4,94.6
96:07:20,346040,1.381,8.67,89.6,89.4,94.6
96:07:21,346041,1.381,8.669,89.6,89.4,94.6
96:07:22,346042,1.377,8.67,89.6,89.4,94.6
96:07:23,346043,1.375,8.67,89.6,89.4,94.6
96:07:24,346044,1.375,8.669,89.6,89.4,94.6
96:07:25,346045,1.372,8.668,89.6,89.5,94.6
96:07:26,346046,1.372,8.667,89.6,89.4,94.6
96:07:27,346047,1.372,8.668,95.0,89.5,94.7
96:07:28,346048,1.372,8.669,95.0,89.5,94.6
96:07:29,346049,1.370,8.669,94.9,89.4,94.6
96:07:30,346050,1.367,8.669,95.0,89.5,94.6
96:07:31,346051,1.367,8.667,95.0,89.5,94.7
96:07:32,346052,1.365,8.668,95.0,89.5,94.7
96:07:33,346053,1.363,8.667,95.0,89.6,94.7
96:07:34,346054,1.362,8.669,95.0,94.8,94.6
96:07:35,346055,1.361,8.669,95.0,94.8,94.6
96:07:36,346056,1.358,8.668,95.0,94.7,94.7
96:07:37,346057,1.362,8.667,95.0,94.8,94.7
96:07:38,346058,1.358,8.669,95.0,94.8,94.6
96:07:39,346059,1.357,8.669,95.0,94.8,94.6
96:07:40,346060,1.355,8.669,95.0,94.8,94.6
96:07:41,346061,1.353,8.67,95.0,94.8,94.7
96:07:42,346062,1.353,8.669,95.0,94.8,94.6
96:07:43,346063,1.353,8.669,95.0,94.8,94.6
96:07:44,346064,1.353,8.67,95.0,94.8,94.6
96:07:45,346065,1.352,8.669,95.0,94.8,94.6
96:07:46,346066,1.351,8.669,95.0,94.7,94.7
96:07:47,346067,1.346,8.668,95.0,94.8,94.7
96:07:48,346068,1.343,8.669,95.0,94.8,94.6
96:07:49,346069,1.344,8.67,95.0,94.7,94.6
96:07:50,346070,1.343,8.671,95.0,94.7,94.6
96:07:51,346071,1.343,8.671,95.0,94.7,94.6
96:07:52,346072,1.353,8.669,95.0,94.7,94.6
96:07:53,346073,1.341,8.67,95.0,94.7,94.6
96:07:54,346074,1.343,8.668,95.0,94.7,94.7
96:07:55,346075,1.339,8.67,94.9,94.7,94.7
96:07:56,346076,1.341,8.67,95.0,94.8,94.6
96:07:57,346077,1.339,8.669,95.0,94.7,94.6
96:07:58,346078,1.337,8.668,95.0,94.8,94.7
96:07:59,346079,1.334,8.672,94.9,94.7,94.7
96:08:00,346080,1.332,8.672,94.9,94.7,100.0
96:08:01,346081,1.332,8.669,95.0,94.8,100.0
96:08:02,346082,1.332,8.671,94.9,94.7,100.0
96:08:03,346083,1.329,8.67,95.0,94.8,100.0
96:08:04,346084,1.329,8.674,94.9,94.7,100.0
